# TMS Shipment Application Data Model

The tables in the TMS Shipment application include the following:

**SHIPMENT**

Below the table lists the attributes along with the data type, constraints, and domain values.

---

```
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Table Name   | Column Name                    | Business Description                                                        | Data Type      | Constraints           | Domain Values
             | PLN_CARRIER_CHARGE             | Planned carrier charge for the shipment                                     | DECIMAL(10,2)  | Nullable              | N/A
             | PLN_CURRENCY_CODE              | Currency code for the planned cost fields                                   | VARCHAR(10)    | Nullable              | N/A
             | PLN_LINEHAUL_COST              | Planned linehaul cost for the shipment                                      | DECIMAL(10,2)  | Nullable              | N/A
             | PLN_MAX_TEMPERATURE            | Maximum planned temperature for temperature-controlled shipments            | DECIMAL(5,2)   | Nullable              | N/A
             | PLN_MIN_TEMPERATURE            | Minimum planned temperature for temperature-controlled shipments            | DECIMAL(5,2)   | Nullable              | N/A
             | PLN_NORMALIZED_TOTAL_COST      | Normalized planned total cost for cross-currency comparison                 | DECIMAL(10,2)  | Nullable              | N/A
             | PLN_RATING_LANE_DETAIL_ID      | Rating lane detail identifier used in planned cost calculation              | VARCHAR(50)    | Nullable              | N/A
             | PLN_RATING_LANE_ID             | Rating lane identifier used in planned cost calculation                     | VARCHAR(50)    | Nullable              | N/A
             | PLN_STOP_OFF_COST              | Planned stop-off charge for the shipment                                    | DECIMAL(10,2)  | Nullable              | N/A
             | PLN_TOTAL_ACCESSORIAL_COST     | Planned total accessorial cost for the shipment                             | DECIMAL(10,2)  | Nullable              | N/A
             | PLN_TOTAL_COST                 | Planned total cost for the shipment                                         | DECIMAL(10,2)  | Nullable              | N/A
             | PP_SHIPMENT_ID                 | Parent or predecessor shipment identifier                                   | VARCHAR(50)    | Nullable              | N/A
             | PRINT_CONS_BOL                 | Flag indicating whether a consolidated bill of lading should be printed     | VARCHAR(1)     | Nullable              | Y, N
             | PRIORITY_TYPE                  | Priority classification of the shipment                                     | VARCHAR(50)    | Nullable              | N/A
             | PRO_NUMBER                     | Progressive (PRO) number assigned by the carrier                            | VARCHAR(100)   | Nullable              | N/A
             | PROD_SCHED_REF_NUMBER          | Production schedule reference number linked to the shipment                 | VARCHAR(100)   | Nullable              | N/A
             | PRODUCT_CLASS_ID               | Product class identifier for the goods in the shipment                      | VARCHAR(50)    | Nullable              | N/A
             | PROTECTION_LEVEL_ID            | Protection level required for the shipment contents                         | VARCHAR(50)    | Nullable              | N/A
             | PURCHASE_ORDER                 | Purchase order number associated with the shipment                          | VARCHAR(100)   | Nullable              | N/A
             | QTY_UOM_ID                     | Unit of measure identifier for quantity fields                              | VARCHAR(20)    | Nullable              | N/A
             | RADIAL_DISTANCE                | Radial (straight-line) distance from a reference point                      | DECIMAL(10,2)  | Nullable              | N/A
             | RADIAL_DISTANCE_UOM            | Unit of measure for the radial distance                                     | VARCHAR(20)    | Nullable              | MI, KM
             | RATE                           | Rate applied to the shipment for cost calculation                           | DECIMAL(10,4)  | Nullable              | N/A
             | RATE_TYPE                      | Type of rate applied to the shipment (e.g., flat, per mile)                | VARCHAR(50)    | Nullable              | N/A
             | RATE_UOM                       | Unit of measure for the applied rate                                        | VARCHAR(20)    | Nullable              | N/A
             | RATING_LANE_DETAIL_ID          | Detail-level identifier for the rating lane used                            | VARCHAR(50)    | Nullable              | N/A
             | RATING_LANE_ID                 | Identifier for the rating lane used for cost calculation                    | VARCHAR(50)    | Nullable              | N/A
             | RATING_QUALIFIER               | Qualifier used to determine the applicable rate                             | VARCHAR(50)    | Nullable              | N/A
             | REC_ACCESSORIAL_COST           | Recommended accessorial cost for the shipment                               | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BROKER_CARRIER_CODE        | Recommended broker carrier code                                             | VARCHAR(50)    | Nullable              | N/A
             | REC_BROKER_CARRIER_ID          | Recommended broker carrier identifier                                       | VARCHAR(50)    | Nullable              | N/A
             | REC_BUDG_ACCESSORIAL_COST      | Recommended budget accessorial cost                                         | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BUDG_CM_DISCOUNT           | Recommended budget carrier management discount                              | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BUDG_CURRENCY_CODE         | Currency code for the recommended budget fields                             | VARCHAR(10)    | Nullable              | N/A
             | REC_BUDG_LINEHAUL_COST         | Recommended budget linehaul cost (not used)                                 | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BUDG_NORMALIZED_TOTAL_COST | Recommended normalized total budget cost                                    | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BUDG_RATING_LANE_DETAIL_ID | Rating lane detail identifier for the recommended budget                    | VARCHAR(50)    | Nullable              | N/A
             | REC_BUDG_RATING_LANE_ID        | Rating lane identifier for the recommended budget                           | VARCHAR(50)    | Nullable              | N/A
             | REC_BUDG_STOP_COST             | Recommended budget stop cost                                                | DECIMAL(10,2)  | Nullable              | N/A
             | REC_BUDG_TOTAL_COST            | Recommended total budget cost for the shipment                              | DECIMAL(10,2)  | Nullable              | N/A
             | REC_CARRIER_CODE               | Code of the recommended carrier                                             | VARCHAR(50)    | Nullable              | N/A
             | REC_CARRIER_ID                 | Identifier for the recommended carrier                                      | VARCHAR(50)    | Nullable              | N/A
             | REC_CM_DISCOUNT                | Recommended carrier management discount                                     | DECIMAL(10,2)  | Nullable              | N/A
             | REC_CM_SHIPMENT_ID             | Recommended carrier management shipment identifier                          | VARCHAR(50)    | Nullable              | N/A
             | REC_CMID                       | Recommended carrier management identifier                                   | VARCHAR(50)    | Nullable              | N/A
             | REC_COST_BREAKUP               | Detailed breakdown of the recommended shipment cost                         | VARCHAR(500)   | Nullable              | N/A
             | REC_CURRENCY_CODE              | Currency code for the recommended cost fields                               | VARCHAR(10)    | Nullable              | N/A
             | REC_EQUIPMENT_ID               | Recommended equipment identifier                                            | VARCHAR(50)    | Nullable              | N/A
             | REC_LANE_DETAIL_ID             | Detail-level identifier for the recommended lane                            | VARCHAR(50)    | Nullable              | N/A
             | REC_LANE_ID                    | Identifier for the recommended lane                                         | VARCHAR(50)    | Nullable              | N/A
             | REC_LINEHAUL_COST              | Recommended linehaul cost for the shipment                                  | DECIMAL(10,2)  | Nullable              | N/A
             | REC_MARGIN                     | Margin on the recommended cost option                                       | DECIMAL(10,2)  | Nullable              | N/A
             | REC_MOT_ID                     | Recommended mode of transport identifier                                    | VARCHAR(50)    | Nullable              | N/A
             | REC_NORMALIZED_MARGIN          | Normalized margin on the recommended option                                 | DECIMAL(10,2)  | Nullable              | N/A
             | REC_NORMALIZED_TOTAL_COST      | Normalized total cost for the recommended option                            | DECIMAL(10,2)  | Nullable              | N/A
             | REC_RATING_LANE_DETAIL_ID      | Rating lane detail identifier for the recommended option                    | VARCHAR(50)    | Nullable              | N/A
             | REC_RATING_LANE_ID             | Rating lane identifier for the recommended option                           | VARCHAR(50)    | Nullable              | N/A
             | REC_SERVICE_LEVEL_ID           | Recommended service level identifier                                        | VARCHAR(50)    | Nullable              | N/A
             | REC_SPOT_CHARGE                | Recommended spot charge amount                                              | DECIMAL(10,2)  | Nullable              | N/A
             | REC_SPOT_CHARGE_CURRENCY_CODE  | Currency code for the recommended spot charge                               | VARCHAR(10)    | Nullable              | N/A
             | REC_STOP_COST                  | Recommended stop charge cost                                                | DECIMAL(10,2)  | Nullable              | N/A
             | REC_TOTAL_COST                 | Recommended total cost for the shipment                                     | DECIMAL(10,2)  | Nullable              | N/A
             | RECEIVED_DTTM                  | Date and time when the shipment was received at the destination             | DATETIME       | Nullable              | N/A
             | REF_SHIPMENT_NBR               | Reference shipment number linked to this shipment                           | VARCHAR(100)   | Nullable              | N/A
             | REGION_ID                      | Region identifier associated with the shipment                              | VARCHAR(50)    | Nullable              | N/A
             | REPORTED_COST                  | Cost reported for the shipment after execution                              | DECIMAL(10,2)  | Nullable              | N/A
             | RETAIN_CONSOLIDATOR_TIMES      | Flag indicating consolidator times should be retained during re-planning    | VARCHAR(1)     | Nullable              | Y, N
             | REVENUE_RATING_LEVEL           | Rating level used to determine revenue for the shipment                     | VARCHAR(50)    | Nullable              | N/A
             | RIGHT_WT                       | Weight on the right side of the load for balance calculation                | DECIMAL(10,3)  | Nullable              | N/A
             | RS_AREA_ID                     | Routing session area identifier                                             | VARCHAR(50)    | Nullable              | N/A
             | RS_CONFIG_CYCLE_ID             | Routing session configuration cycle identifier                              | VARCHAR(50)    | Nullable              | N/A
             | RS_CONFIG_ID                   | Routing session configuration identifier                                    | VARCHAR(50)    | Nullable              | N/A
             | RS_CYCLE_REMAINING             | Number of optimization cycles remaining in the routing session              | INT            | Nullable              | N/A
             | RS_TYPE                        | Type of routing session applied to the shipment                             | VARCHAR(50)    | Nullable              | N/A
             | RTE_SWC_NBR                    | Route switch number for the shipment                                        | VARCHAR(50)    | Nullable              | N/A
             | RTE_TO                         | Route-to destination code                                                   | VARCHAR(50)    | Nullable              | N/A
             | RTE_TYPE                       | Primary route type for the shipment                                         | VARCHAR(50)    | Nullable              | N/A
             | RTE_TYPE_1                     | Secondary route type classification                                         | VARCHAR(50)    | Nullable              | N/A
             | RTE_TYPE_2                     | Tertiary route type classification                                          | VARCHAR(50)    | Nullable              | N/A
             | SCHEDULED_PICKUP_DTTM          | Scheduled date and time for pickup                                          | DATETIME       | Nullable              | N/A
             | SCNDR_CARRIER_ID               | Identifier for the secondary carrier on the shipment                        | VARCHAR(50)    | Nullable              | N/A
             | SEAL_NUMBER                    | Seal number applied to the shipment trailer or container                    | VARCHAR(100)   | Nullable              | N/A
             | SED_GENERATED_FLAG             | Flag indicating a Shipper's Export Declaration was generated                | VARCHAR(1)     | Nullable              | Y, N
             | SENT_TO_CREATE_PKMS            | Flag indicating the create instruction was sent to the warehouse system     | VARCHAR(1)     | Nullable              | Y, N
             | SENT_TO_CREATE_PKMS_DTTM       | Date and time the create instruction was sent to the warehouse system       | DATETIME       | Nullable              | N/A
             | SENT_TO_PKMS                   | Flag indicating an update was sent to the warehouse system                  | VARCHAR(1)     | Nullable              | Y, N
             | SENT_TO_PKMS_DTTM              | Date and time the update was sent to the warehouse system                   | DATETIME       | Nullable              | N/A
             | SERV_AREA_CODE                 | Service area code associated with the shipment                              | VARCHAR(50)    | Nullable              | N/A
             | SHIP_GROUP_ID                  | Identifier for the shipment group this shipment belongs to                  | VARCHAR(50)    | Nullable              | N/A
             | SHIPMENT_CLOSED_INDICATOR      | Flag indicating the shipment has been closed                                | VARCHAR(1)     | Nullable              | Y, N
             | SHIPMENT_END_DTTM              | Date and time when the shipment execution ended                             | DATETIME       | Nullable              | N/A
             | SHIPMENT_ID                    | Unique identifier for the shipment record                                   | VARCHAR(50)    | Primary Key, Not Null | N/A
             | SHIPMENT_LEG_TYPE              | Type of shipment leg (e.g., direct, relay, multi-modal)                     | VARCHAR(50)    | Nullable              | N/A
             | SHIPMENT_RECON_DTTM            | Date and time when the shipment was financially reconciled                  | DATETIME       | Nullable              | N/A
             | SHIPMENT_REF_ID                | Reference identifier linking related shipments                              | VARCHAR(100)   | Nullable              | N/A
             | SHIPMENT_START_DTTM            | Date and time when shipment execution began                                 | DATETIME       | Nullable              | N/A
             | SHIPMENT_STATUS                | Current transit status of the shipment                                      | VARCHAR(50)    | Not Null              | PLANNED, IN_TRANSIT, DELIVERED, CANCELLED
             | SHIPMENT_TYPE                  | Product class type of the shipment                                          | VARCHAR(50)    | Not Null              | N/A
             | SHIPMENT_WIN_ADJ_FLAG          | Flag indicating a window adjustment was made to the shipment                | VARCHAR(1)     | Nullable              | Y, N
             | SIZE1_UOM_ID                   | Unit of measure for the first size dimension                                | VARCHAR(20)    | Nullable              | N/A
             | SIZE1_VALUE                    | Value of the first size dimension                                           | DECIMAL(10,3)  | Nullable              | N/A
             | SIZE2_UOM_ID                   | Unit of measure for the second size dimension                               | VARCHAR(20)    | Nullable              | N/A
             | SIZE2_VALUE                    | Value of the second size dimension                                          | DECIMAL(10,3)  | Nullable              | N/A
             | SPOT_CHARGE                    | Spot charge amount applied to the shipment                                  | DECIMAL(10,2)  | Nullable              | N/A
             | SPOT_CHARGE_AND_PAYEE_ACC      | Combined spot charge and payee accessorial amount                           | DECIMAL(10,2)  | Nullable              | N/A
             | SPOT_CHARGE_AND_PAYEE_ACC_CC   | Currency code for the combined spot charge and payee accessorial            | VARCHAR(10)    | Nullable              | N/A
             | SPOT_CHARGE_CURRENCY_CODE      | Currency code for the spot charge amount                                    | VARCHAR(10)    | Nullable              | N/A
             | STAGING_LOCN_ID                | Identifier for the staging location for the shipment                        | VARCHAR(50)    | Nullable              | N/A
             | STATIC_ROUTE_ID                | Identifier for the static route assigned to the shipment                    | VARCHAR(50)    | Nullable              | N/A
             | STATUS_CHANGE_DATE             | Date when the shipment status last changed (not used)                       | DATETIME       | Nullable              | N/A
             | STOP_COST                      | Stop charge cost for the shipment                                           | DECIMAL(10,2)  | Nullable              | N/A
             | TANDEM_PATH_ID                 | Identifier for the tandem routing path                                      | VARCHAR(50)    | Nullable              | N/A
             | TARIFF                         | Tariff code or schedule applied to the shipment                             | VARCHAR(100)   | Nullable              | N/A
             | TC_COMPANY_ID                  | Company identifier within the TMS system                                    | VARCHAR(50)    | Not Null              | N/A
             | TC_SHIPMENT_ID                 | TMS-assigned shipment identifier                                            | VARCHAR(50)    | Not Null              | N/A
             | TEMPERATURE_UOM                | Unit of measure for temperature fields on the shipment                      | VARCHAR(20)    | Nullable              | C, F
             | TENDER_DTTM                    | Date and time when the shipment was tendered to the carrier                 | DATETIME       | Nullable              | N/A
             | TENDER_RESP_DEADLINE_DATE      | Deadline date for the carrier to respond to the tender                      | DATETIME       | Nullable              | N/A
             | TENDER_RESP_DEADLINE_TZ        | Timezone for the tender response deadline                                   | VARCHAR(50)    | Nullable              | N/A
             | TOTAL_COST                     | Total shipment cost including all charges                                   | DECIMAL(10,2)  | Nullable              | N/A
             | TOTAL_COST_EXCL_TAX            | Total shipment cost excluding tax                                           | DECIMAL(10,2)  | Nullable              | N/A
             | TOTAL_REVENUE                  | Total revenue generated by the shipment                                     | DECIMAL(10,2)  | Nullable              | N/A
             | TOTAL_REVENUE_CURRENCY_CODE    | Currency code for the total revenue amount                                  | VARCHAR(10)    | Nullable              | N/A
             | TOTAL_TAX_AMOUNT               | Total tax amount applied to the shipment                                    | DECIMAL(10,2)  | Nullable              | N/A
             | TOTAL_TIME                     | Total elapsed time for the shipment from pickup to delivery                 | DECIMAL(10,2)  | Nullable              | N/A
             | TRACKING_MSG_PROBLEM           | Flag or description of a problem with tracking messages                     | VARCHAR(200)   | Nullable              | N/A
             | TRACTOR_NUMBER                 | Tractor unit number assigned to the shipment                                | VARCHAR(50)    | Nullable              | N/A
             | TRAILER_NUMBER                 | Trailer number assigned to the shipment                                     | VARCHAR(50)    | Nullable              | N/A
             | TRANS_PLAN_OWNER               | Owner or planner responsible for the transportation plan                    | VARCHAR(100)   | Nullable              | N/A
             | TRANS_RESP_CODE                | Transport responsibility code indicating who manages the freight            | VARCHAR(50)    | Nullable              | N/A
             | TRLR_GEN_CODE                  | Trailer generation code                                                     | VARCHAR(50)    | Nullable              | N/A
             | TRLR_SIZE                      | Size category of the trailer assigned to the shipment                       | VARCHAR(50)    | Nullable              | N/A
             | TRLR_TYPE                      | Type of trailer assigned to the shipment                                    | VARCHAR(50)    | Nullable              | N/A
             | UN_NUMBER_ID                   | UN hazmat number identifier for dangerous goods                             | VARCHAR(50)    | Nullable              | N/A
             | UPDATE_SENT                    | Flag indicating an update notification was sent for the shipment            | VARCHAR(1)     | Nullable              | Y, N
             | USE_BROKER_AS_CARRIER          | Flag indicating the broker should be treated as the carrier                 | VARCHAR(1)     | Nullable              | Y, N
             | VEHICLE_CHECK_START_DTTM       | Date and time when the vehicle check process started                        | DATETIME       | Nullable              | N/A
             | VOLUME_UOM_ID_BASE             | Base unit of measure identifier for volume fields                           | VARCHAR(20)    | Nullable              | N/A
             | WAVE_ID                        | Wave planning identifier associated with the shipment                       | VARCHAR(50)    | Nullable              | N/A
             | WAYPOINT_HANDLING_COST         | Handling cost at waypoint stops along the route                             | DECIMAL(10,2)  | Nullable              | N/A
             | WAYPOINT_TOTAL_COST            | Total cost including all waypoint charges                                   | DECIMAL(10,2)  | Nullable              | N/A
             | WEIGHT_UOM_ID_BASE             | Base unit of measure identifier for weight fields                           | VARCHAR(20)    | Nullable              | N/A
             | WMS_STATUS_CODE                | Status code from the warehouse management system for this shipment          | VARCHAR(50)    | Nullable              | N/A
-----------------------------------------------------------------------------------------------------------------------------------------------------------
